Keyword;Position;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results
salary calculator;1;368000;1.22;https://www.thesalarycalculator.co.uk/salary.php;15.63;19.35;0.33;111
take home pay calculator;1;301000;0.97;https://www.thesalarycalculator.co.uk/salary.php;12.78;12.58;0.33;111
salary calculator uk;1;90500;1.44;https://www.thesalarycalculator.co.uk/salary.php;3.84;5.61;0.33;101
tax calculator;3;246000;1.06;https://www.thesalarycalculator.co.uk/salary.php;3.45;3.71;0.04;135
uk salary calculator;1;40500;1.44;https://www.thesalarycalculator.co.uk/salary.php;1.72;2.51;0.33;111
tax calculator uk;2;74000;0.91;https://www.thesalarycalculator.co.uk/salary.php;1.67;1.54;0.06;119
the salary calculator;1;8100;1.45;https://www.thesalarycalculator.co.uk/;1.10;1.63;0.33;0
take home calculator;1;22200;2.24;https://www.thesalarycalculator.co.uk/salary.php;0.94;2.14;0.33;118
income tax calculator;4;74000;1.44;https://www.thesalarycalculator.co.uk/salary.php;0.82;1.20;0.01;120
take home salary calculator;1;18100;0.97;https://www.thesalarycalculator.co.uk/salary.php;0.76;0.75;0.33;119
take home pay calculator uk;2;33100;0.85;https://www.thesalarycalculator.co.uk/salary.php;0.74;0.64;0.01;512000000
take home pay;2;33100;1.38;https://www.thesalarycalculator.co.uk/salary.php;0.74;1.04;0.33;139
salary take home calculator;1;14800;0.97;https://www.thesalarycalculator.co.uk/salary.php;0.62;0.61;0.33;120
uk tax calculator;4;49500;1.15;https://www.thesalarycalculator.co.uk/salary.php;0.55;0.64;0.05;122
salary calculator salary;1;12100;1.22;https://www.thesalarycalculator.co.uk/salary.php;0.51;0.63;0.33;108
salary calculator salary calculator;1;12100;1.22;https://www.thesalarycalculator.co.uk/salary.php;0.51;0.63;0.33;108
net salary calculator;1;12100;1.02;https://www.thesalarycalculator.co.uk/salary.php;0.51;0.53;0.33;116
salary calculator 2025;1;3600;0.00;https://www.thesalarycalculator.co.uk/;0.49;0.00;0.33;111
pay calculator;1;9900;1.40;https://www.thesalarycalculator.co.uk/salary.php;0.42;0.59;0.02;119
wage calculator uk;1;9900;1.44;https://www.thesalarycalculator.co.uk/salary.php;0.42;0.61;0.33;109
hourly wage calculator;1;9900;2.06;https://www.thesalarycalculator.co.uk/hourly.php;0.42;0.87;0.33;101
wages take home;1;9900;1.38;https://www.thesalarycalculator.co.uk/salary.php;0.42;0.58;0.33;128
salary calculator uk take home pay;2;18100;0.85;https://www.thesalarycalculator.co.uk/salary.php;0.40;0.35;0.01;118
thesalarycalculator;1;2900;1.45;https://www.thesalarycalculator.co.uk/;0.39;0.58;0.33;0
pro rata salary calculator;1;8100;2.39;https://www.thesalarycalculator.co.uk/prorata.php;0.34;0.83;0.02;100
pro rata calculator;1;8100;2.46;https://www.thesalarycalculator.co.uk/prorata.php;0.34;0.85;0.03;98
pro rata;1;14800;10.09;https://www.thesalarycalculator.co.uk/prorata.php;0.33;3.42;0.01;119
salary after tax;2;14800;0.60;https://www.thesalarycalculator.co.uk/salary.php;0.33;0.20;0.33;131
take home salary estimator;2;14800;0.97;https://www.thesalarycalculator.co.uk/salary.php;0.33;0.32;0.33;113
wage calculator;3;22200;1.50;https://www.thesalarycalculator.co.uk/salary.php;0.31;0.47;0.02;111
tax calculator 2025;4;27100;0.78;https://www.thesalarycalculator.co.uk/;0.30;0.23;0.03;114
net salary calculator uk;1;6600;0.83;https://www.thesalarycalculator.co.uk/salary.php;0.28;0.23;0.33;107
hourly rate calculator;1;6600;1.31;https://www.thesalarycalculator.co.uk/hourly.php;0.28;0.37;0.01;109
hours and wage calculator;1;6600;1.31;https://www.thesalarycalculator.co.uk/hourly.php;0.28;0.37;0.01;105
uk take home pay calculator;2;12100;0.85;https://www.thesalarycalculator.co.uk/salary.php;0.27;0.23;0.01;116
calculate take home pay;2;12100;0.97;https://www.thesalarycalculator.co.uk/salary.php;0.27;0.26;0.33;121
calculate net payroll;2;12100;1.00;https://www.thesalarycalculator.co.uk/salary.php;0.27;0.27;0.01;61
tax calculator britain;3;18100;1.15;https://www.thesalarycalculator.co.uk/salary.php;0.25;0.29;0.05;45
salary calc;1;5400;1.22;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.28;0.33;110
paycheck calculator take home;1;5400;0.97;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.22;0.33;111
pay rate calculator hourly;1;5400;1.31;https://www.thesalarycalculator.co.uk/hourly.php;0.22;0.30;0.01;110
wage calculated;1;5400;1.50;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.34;0.02;125
monthly salary calculator;1;5400;1.40;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.32;0.01;115
take home earnings;2;9900;1.38;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.31;0.33;130
salary tax calculator;2;9900;0.99;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.22;0.01;125
convert salary to take home pay;2;9900;0.97;https://www.thesalarycalculator.co.uk/salary.php;0.22;0.22;0.33;113
uk salary calculator 2025;1;1600;0.00;https://www.thesalarycalculator.co.uk/;0.21;0.00;0.33;142
salary calculator uk 2025;1;1600;0.00;https://www.thesalarycalculator.co.uk/;0.21;0.00;0.33;110
net pay calculator;3;14800;1.00;https://www.thesalarycalculator.co.uk/salary.php;0.20;0.21;0.01;127
tax calculator united kingdom;3;14800;1.15;https://www.thesalarycalculator.co.uk/salary.php;0.20;0.24;0.05;116
