Domain;Competitor Relevance;Common Keywords;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords
easytaxcalc.uk;0.21;1;668;33;12;0
yoursalarycalculator.com;0.10;1;454;4;1;0
salarycheck.co.uk;0.06;1;81;152;38;0
incometaxcalculator.org.uk;0.06;1;349;17;0;0
bonustaxcalculator.co.uk;0.05;1;290;106;64;0
reversevatcalculator.co.uk;0.03;1;323;131;106;0
costrak.com;0.02;1;902;262;329;0
isgoodsalary.co.uk;0.02;1;848;30;4;0
income-tax.co.uk;0.01;3;10244;872;216;0
icalculator.com;0.01;2;6594;741;155;0
quidwise.co.uk;0.00;1;1992;2704;642;0
contractoruk.com;0.00;1;17103;44636;167839;0
anna.money;0.00;1;23128;71564;259614;526
moneysavingexpert.com;0.00;4;1555833;7532959;17264201;1433
taxcalculate.co.uk;0.00;1;2086;11981;6500;0
www.gov.uk;0.00;5;4874606;74418242;95451746;75
jpmorgan.com;0.00;1;41197;199912;784173;762
reed.co.uk;0.00;4;629268;1213637;547646;926
thesalarycalculator.co.uk;0.00;4;19133;583889;575208;0
stafftax.co.uk;0.00;1;6971;32903;23648;4
